FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
1578000,ATRI_nasdaq,218.65,185.16,226.99,2133,217.337,202.371,N/A,N/A,13.4
9316000,ATTU_nasdaq,5.39,4.42,9.75,31552,5.5666,6.5222,N/A,N/A,0.9
2382000,AUBN_nasdaq,22.05,20.51,24.87,1220,21.886,21.7133,N/A,N/A,2.3
9590000,ADNC_nasdaq,12.93,5.51,22.43,245036,14.084,13.6801,18.74,15.77,3.4
24679000,AUDC_nasdaq,4.63,1.2,4.65,101562,4.2531,3.89,38.58,24.37,0.5
24718000,ADAT_nasdaq,0.9,0.53,1.64,60658,1.0146,0.955,N/A,N/A,16.8
1395000,ABTL_nasdaq,4.71,3.37,5.1,27031,4.7229,4.3125,27.71,10.95,0.4
224177000,ADSK_nasdaq,33.49,27.7,41.42,2822860,35.896,37.6116,17.17,14.69,1.3
483989000,ADP_nasdaq,70.08,54.02,72,1791000,69.3757,64.3212,24.08,22.04,2.4
27366000,AMAP_nasdaq,11.98,9.65,15.19,496456,12.1854,11.4983,23.49,18.72,1.6
39837000,AUXL_nasdaq,17.01,13.87,29.37,826203,16.0786,16.2062,N/A,28.35,6.4
246035000,AVGO_nasdaq,38.48,30.5,38.98,2793000,36.546,34.6127,15.84,13.41,0.9
142878000,AVNR_nasdaq,4.54,2.07,4.78,1889590,3.9174,3.4046,N/A,N/A,9.3
44810000,AVEO_nasdaq,2.46,2.25,14.08,2283750,2.5994,5.8878,N/A,N/A,2.5
55775000,AVNW_nasdaq,2.61,2.03,3.9,262609,2.7423,3.1699,13.74,11.35,5.6
38221000,AVID_nasdaq,5.77,5.68,10.04,87161,6.4211,6.8999,N/A,N/A,8.8
89027000,CAR_nasdaq,30.21,12.85,34.21,1966500,31.334,26.5427,12.43,10,10.9
11067000,AWRE_nasdaq,5.26,4.5,6.9,120872,5.1246,5.1964,N/A,N/A,5.1
100550000,ACLS_nasdaq,1.79,0.71,1.85,690920,1.6649,1.3688,N/A,N/A,2.2
31266000,AXTI_nasdaq,2.7,2.5,4.11,216222,2.7643,2.8567,N/A,270,11.6
9493000,BCOM_nasdaq,8.58,2.27,9.08,3397,7.8409,6.0047,N/A,N/A,0.4
